FactrAI - Scenario Analysis & Sensitivity Testing

THREE SCENARIO SUMMARY,,,,,
CAC -30%,"$3,245,678",+76%,Efficient acquisition,
CAC +30%,"$448,790",-76%,Expensive acquisition,
ARPU +20%,"$6,789,012",+267%,Premium pricing power,
ARPU -20%,"($3,094,544)",-267%,Price pressure,

SENSITIVITY TABLE - 5-YEAR CUMULATIVE REVENUE,,,,,
User Growth →,"-40%","-20%",Base,"+20%","+50%"
Churn +2%,"$6,924,278","$10,386,417","$13,591,722","$16,797,027","$20,387,583"
Churn +1%,"$7,330,722","$10,996,083","$14,394,861","$17,793,639","$21,609,944"
Churn Base,"$8,155,033","$12,232,550","$16,021,583","$19,810,616","$24,051,667"
Churn -1%,"$8,570,785","$12,856,178","$16,843,972","$20,831,766","$25,300,944"
Churn -2%,"$8,986,537","$13,479,806","$17,666,361","$21,852,916","$26,550,222"

SENSITIVITY TABLE - 5-YEAR CUMULATIVE EBITDA,,,,,
Publisher Payout →,"-15%","-10%",Base,"+10%","+15%"
OpEx -15%,"($26,153,562)","($28,172,481)","($34,203,422)","($40,234,363)","($42,253,282)"
OpEx -10%,"($28,172,481)","($30,191,401)","($36,222,342)","($42,253,282)","($44,272,202)"
OpEx Base,"($32,191,682)","($34,210,602)","($40,239,602)","($46,268,602)","($48,287,522)"
OpEx +10%,"($36,229,522)","($38,248,442)","($44,277,382)","($50,306,322)","($52,325,242)"
OpEx +15%,"($38,248,442)","($40,267,362)","($46,296,302)","($52,325,242)","($54,344,162)"

BREAK-EVEN ANALYSIS,,,,,
Scenario,Monthly Revenue Needed,Users Needed,Target Month,Probability,Notes
Optimistic,"$850,000","35,000",Month 42,25%,"Strong growth + cost control"
Base Case,"$1,100,000","45,000",Month 54,50%,Current trajectory
Pessimistic,"$1,400,000","58,000",Never,25%,"Weak growth, high costs"

KEY ASSUMPTIONS BY SCENARIO,,,,,
Variable,Base Case,Best Case,Worst Case,Driver,
New User Growth Rate,100%,150%,60%,Market demand
Monthly Churn - Lite,3.0%,2.3%,3.8%,Product-market fit
Monthly Churn - Pro,2.0%,1.5%,2.5%,Retention quality
Publisher Payout/Article,$0.50,$0.43,$0.58,Negotiation power
B2C CAC,$55,$47,$66,Marketing efficiency
Enterprise Adoption,5% of users,7.5% of users,3% of users,B2B sales success
Gross Margin,33%,34%,32%,Payout efficiency

SCENARIO PROBABILITY WEIGHTING,,,,,
Scenario,Probability,5-Year Revenue,Weighted Revenue,5-Year EBITDA,Weighted EBITDA
Best Case,20%,"$20,387,583","$4,077,517","($32,191,682)","($6,438,336)"
Base Case,55%,"$13,591,722","$7,475,447","($40,239,602)","($22,131,781)"
Worst Case,25%,"$8,155,033","$2,038,758","($48,287,522)","($12,071,881)"
Expected Value,100%,-,"$13,591,722",-,"($40,642,998)"

RISK FACTORS & MITIGATION,,,,,
Risk,Impact on Case,Likelihood,Mitigation Strategy,Contingency Plan
Publisher Resistance,Worst Case,Medium,"Early partnerships, data sharing",Alternative payout models
Low User Adoption,Worst Case,Low,"Strong value prop, freemium tier",Pivot to B2B focus
High Churn,Worst Case,Medium,"Product improvements, engagement",Loyalty programs
CAC Inflation,Worst Case,Medium,"Organic growth, referrals",Performance marketing optimization
Competitive Entry,Base to Worst,Medium,"Network effects, first-mover",Differentiate on data reciprocity
Funding Gap,Worst Case,Low,"Milestone-based fundraising",Bridge financing available

WHAT-IF SCENARIOS,,,,,
Scenario,Description,Revenue Impact,EBITDA Impact,Strategic Implications
Freemium Launch,"Add free tier with 3 articles/month",+25% users,-$2M EBITDA,Acquisition boost but margin pressure
B2B Focus Pivot,"Enterprise-only, exit B2C",+50% ARPU,-60% users,Higher quality but smaller market
Premium Publisher Exit,"Lose top 10% of publishers",-30% value prop,-40% users,Critical to retain tier-1 partners
AI Summary Feature,"Add AI article summaries",-15% articles/user,+20% retention,Innovation maintains engagement
International Expansion,"Launch UK/EU markets in Year 3",+40% TAM,+$5M OpEx,Dilutes focus but expands opportunity
