FactrAI - Operating Expenditure Budget (60 Months)

Month,Year,Personnel,CAC Spend,Tech Infrastructure,Publisher BD,Legal & Compliance,Marketing,General & Admin,Total OpEx,OpEx/Revenue Ratio,Cumulative OpEx
54,5,"$700,000","$78,420","$25,000","$105,000","$42,000","$122,000","$42,000","$1,114,420",205%,"$36,247,420"
55,5,"$720,000","$80,220","$25,000","$110,000","$42,000","$125,000","$43,000","$1,145,220",203%,"$37,392,640"
56,5,"$720,000","$81,120","$25,000","$110,000","$42,000","$127,000","$43,000","$1,148,120",197%,"$38,540,760"
57,5,"$740,000","$82,020","$25,000","$110,000","$42,000","$129,000","$44,000","$1,172,020",194%,"$39,712,780"
58,5,"$740,000","$82,920","$25,000","$110,000","$42,000","$131,000","$44,000","$1,174,920",188%,"$40,887,700"
59,5,"$760,000","$83,820","$25,000","$115,000","$45,000","$133,000","$45,000","$1,206,820",187%,"$42,094,520"
60,5,"$760,000","$84,720","$25,000","$115,000","$45,000","$135,000","$45,000","$1,209,720",181%,"$43,304,240"

ANNUAL OPEX SUMMARY,,,,,,,,,
Year,Personnel,CAC,Tech Infra,Publisher BD,Legal,Marketing,G&A,Total OpEx,OpEx Growth %
0,"$120,000",$0,"$10,000",$0,"$5,000",$0,"$5,000","$140,000",-
1,"$2,760,000","$142,875","$168,000","$320,000","$120,000","$192,000","$148,000","$3,850,875",2650%
2,"$4,060,000","$343,725","$213,600","$540,000","$228,000","$517,000","$248,000","$6,150,325",60%
3,"$5,800,000","$580,650","$252,000","$810,000","$330,000","$818,000","$342,000","$8,932,650",45%
4,"$7,340,000","$770,700","$276,000","$1,050,000","$420,000","$1,173,000","$432,000","$11,461,700",28%
5,"$8,680,000","$931,920","$300,000","$1,270,000","$510,000","$1,487,000","$510,000","$13,688,920",19%

OPEX BY CATEGORY (% OF TOTAL),,,,,,,,,
Year,Personnel %,CAC %,Tech Infra %,Publisher BD %,Legal %,Marketing %,G&A %,,
0,85.7%,0.0%,7.1%,0.0%,3.6%,0.0%,3.6%,,
1,71.7%,3.7%,4.4%,8.3%,3.1%,5.0%,3.8%,,
2,66.0%,5.6%,3.5%,8.8%,3.7%,8.4%,4.0%,,
3,64.9%,6.5%,2.8%,9.1%,3.7%,9.2%,3.8%,,
4,64.0%,6.7%,2.4%,9.2%,3.7%,10.2%,3.8%,,
5,63.4%,6.8%,2.2%,9.3%,3.7%,10.9%,3.7%,,

PERSONNEL BREAKDOWN,,,,,,,,,
Year,Engineering,Sales & BD,Marketing,Operations,Admin,Total Headcount,Avg Salary,Total Cost
0,6,2,1,0,1,10,"$120,000","$120,000"
1,12,5,3,2,2,24,"$115,000","$2,760,000"
2,18,8,5,4,3,38,"$106,842","$4,060,000"
3,25,12,7,6,4,54,"$107,407","$5,800,000"
4,32,16,10,8,6,72,"$101,944","$7,340,000"
5,38,20,12,10,8,88,"$98,636","$8,680,000"

INFRASTRUCTURE SCALING,,,,,,,,,
Year,Cloud Hosting,Data Storage,API Costs,Software Licenses,Security,Total Infra,Users,Cost/User/Year
0,"$60,000","$20,000","$12,000","$24,000","$24,000","$140,000",0,-
1,"$60,000","$36,000","$24,000","$48,000","$0","$168,000","1,128",$149
2,"$84,000","$50,400","$30,240","$48,960","$0","$213,600","3,406",$63
3,"$117,600","$70,560","$42,336","$21,504","$0","$252,000","7,185",$35
4,"$158,760","$95,256","$57,154","$0","$0","$276,000","12,340",$22
5,"$214,326","$128,596","$77,157","$0","$0","$300,000","19,430",$15
